id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1147832808958558424,Cama (3B2) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.165643561762195,-8.600853178030778,Shared room,25,2,0,,,35,178,0,146695/AL
1147836004008307238,Cama (3B3) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.16417,-8.60222,Shared room,25,2,1,2024-07-07,0.43,35,178,1,146695/AL
1147838443418218013,Cama (3B4) - Quarto partilhado,568051113,Bookwise,PORTO,Paranhos,41.16449,-8.60188,Shared room,25,1,0,,,35,268,0,146695/AL
1147897556661685675,Downtown Studio by PortoDreamStays,567233641,Porto Dream,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14823,-8.61918,Entire home/apt,112,1,0,,,19,234,0,156638/AL
1148336665253240571,Boho House Duplex - w/ garage,485014119,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1535053,-8.6213195,Entire home/apt,190,1,6,2024-08-25,1.42,3,326,6,149475/AL
1148464742377777998,Casa do Parque (8Pax),12472849,Francisco,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.1711344445562,-8.66665681062065,Entire home/apt,611,2,0,,,4,267,0,143968/AL
1148473594388456222,Modern Bright Studio w/ Terrace | Walk Everywhere,12730028,Host Wise,PORTO,Lordelo do Ouro e Massarelos,41.14900279835289,-8.623035282982631,Entire home/apt,97,1,1,2024-06-27,0.37,316,221,1,108645/AL
1148492476847517616,Host Wise - Precious Charming Flat w/ Ace Location,12730028,Host Wise,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14899241174245,-8.6120854420153,Entire home/apt,116,1,3,2024-09-05,0.77,316,314,3,23069/AL
1148536899685036439,Gaia City center river,51447621,Joao,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13399,-8.60927,Entire home/apt,38,30,2,2024-08-31,1.30,36,197,2,Exempt
1149116922378459238,Inviting - Douro Vista Apartment V,516482770,Vítor Joaquim,GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim",41.1413387,-8.5705033,Entire home/apt,,2,5,2024-07-17,1.36,7,0,5,115563/AL
1149337763867986458,City center spacious apartment w/ terrace!,146146787,Avelina,PORTO,Bonfim,41.1441600354595,-8.601186282612982,Entire home/apt,103,2,0,,,2,58,0,121245/AL
1149370765918063756,Casa da Oliveira,533471628,Ana,TROFA,Bougado (São Martinho e Santiago),41.3437183,-8.544720800000002,Entire home/apt,45,2,1,2024-08-24,1,1,364,1,Exempt
1149428541486210388,Amazing Villa by Hosty,551958783,Hosty,PORTO,Paranhos,41.1750924,-8.592068,Entire home/apt,196,2,9,2024-08-11,2.67,39,327,9,135474/AL
1149497082959373062,Quarto suite Caprichosos,250524263,Entre Amigos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16327541120611,-8.623124307553523,Private room,24,7,1,2024-07-21,0.54,41,164,1,93125/AL
1149503615767634077,Quarto individual Salgueiro,250524263,Entre Amigos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.163228491822046,-8.62268600526502,Private room,25,7,3,2024-08-28,0.84,41,137,3,93125/AL
1149507899278490089,Quarto varanda Tijuca,250524263,Entre Amigos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.161636383358456,-8.624142814652682,Private room,26,7,2,2024-08-13,0.63,41,182,2,93125/AL
1149820432026074922,Maria Pia Suite 1,431283509,YourHost,PORTO,Paranhos,41.1649846,-8.6020355,Private room,38,2,1,2024-08-28,1,60,127,1,137160/AL
1149826426732324181,Maria Pia Suite 4 com Terraço,431283509,YourHost,PORTO,Paranhos,41.1649846,-8.6020355,Private room,43,2,2,2024-08-28,2,60,245,2,137160/AL
1149831717851264152,Maria Pia Suite 3,431283509,YourHost,PORTO,Paranhos,41.1649846,-8.6020355,Private room,41,2,0,,,60,181,0,137160/AL
1149836493344817535,Maria Pia Apartamento com Terraço,431283509,YourHost,PORTO,Paranhos,41.1649846,-8.6020355,Entire home/apt,47,2,2,2024-08-26,1.87,60,176,2,137160/AL
1149969299956331702,Quarto espaçoso no Porto,141525238,Enzo,PORTO,Paranhos,41.1676526,-8.6190143,Private room,45,1,4,2024-08-08,0.93,1,269,4,Exempt
1156315070288603121,Rustic Bright Flat w/ Netflix | City Centre,12730028,Host Wise,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15339,-8.62053,Entire home/apt,110,1,4,2024-08-27,1.10,316,208,4,84388/AL
1156342118321060892,Dom Luís Flats - 12,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13617995389279,-8.613335893067124,Entire home/apt,39,2,10,2024-08-23,2.56,11,27,10,10427
1156342632652011876,Stylish Luxurious House | River View,12730028,Host Wise,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14355,-8.64511,Entire home/apt,137,1,5,2024-09-06,1.97,316,306,5,131763/AL
1156359782258450340,Dom Luís Flats - 11,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1369529275079,-8.611944426162138,Entire home/apt,41,2,14,2024-08-21,3.59,11,26,14,10427
1156362015413451976,Dom Luís Flats - 14,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13627191206825,-8.613252233261262,Entire home/apt,40,2,9,2024-08-10,2.50,11,33,9,10427
1156363334512478666,Dom Luís Flats - 21,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13562,-8.61319,Entire home/apt,40,2,11,2024-08-12,2.77,11,18,11,10427
1156364430863813326,Dom Luís Flats - 22,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1348480331246,-8.613329131465461,Entire home/apt,44,2,9,2024-08-17,2.43,11,20,9,10427
1156365347023033294,Dom Luís Flats - 23,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13576075345229,-8.612713727893077,Entire home/apt,44,2,15,2024-08-24,3.81,11,26,15,10427
1156366691986621986,Dom Luís Flats - 24,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13714304412395,-8.612889758404195,Entire home/apt,59,2,11,2024-08-21,3.03,11,32,11,10427
1156368272065540665,Dom Luís Flats - 32,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13623571498377,-8.612701144671297,Entire home/apt,40,2,10,2024-08-25,2.61,11,21,10,10427
1156369472747167155,Dom Luís Flats - 42,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13484,-8.6115,Entire home/apt,44,2,9,2024-07-19,2.31,11,27,9,10427
1156370510122065829,Dom Luís Flats - 44,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.136829193714924,-8.613562758564182,Entire home/apt,56,2,12,2024-08-23,3.16,11,25,12,10427
1156502033250953691,Dom Luís Flats - 33,577483523,Cláudia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13556180425163,-8.61347963606439,Entire home/apt,43,2,9,2024-08-19,2.27,11,23,9,10427
1156534979313608719,Apartment with a loft and terrace,70050327,Alexandra,PORTO,Lordelo do Ouro e Massarelos,41.15348968269957,-8.63067202270031,Entire home/apt,304,3,2,2024-07-18,0.95,10,354,2,151972/AL
1156599908068937568,Exclusive Luxury Villa with Plunge Pool & Garden,5881535,Nick,PORTO,Lordelo do Ouro e Massarelos,41.16163120317163,-8.637691411431648,Entire home/apt,332,2,7,2024-08-27,3.23,1,242,7,75228/AL
1156611365056368855,Quarto frente c/ vista jardim,80997589,Gabriela,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15361,-8.66575,Private room,,2,4,2024-08-27,2.14,6,0,4,144934/AL
1156758868309373385,City Drops Hostel Clérigos Private Room,574429509,Alexandre,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15294,-8.60836,Private room,,1,0,,,7,93,0,6384/AL
1156825678548234971,Center Porto Nice Flat,574429509,Alexandre,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15856,-8.60888,Entire home/apt,71,1,0,,,7,15,0,Exempt
1156826330186855521,City Drops Hostel BatalhaPrivate Room,574429509,Alexandre,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15439,-8.60835,Private room,,1,1,2024-07-28,0.61,7,107,1,6384/AL
1156826888035826849,Aliados City Drop Private Room,574429509,Alexandre,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15455,-8.60661,Private room,51,1,0,,,7,37,0,6384/AL
1156827153963296975,City Drops Hostel RibeiraPrivate Room,574429509,Alexandre,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1534117478212,-8.606790841725937,Private room,,1,1,2024-07-14,0.48,7,104,1,6384/AL
1156963824389707838,Ponte D. Luis Apartments - 3º andar,577651625,Ricardo Isidro De AraÚJo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14163433824741,-8.6180174154243,Entire home/apt,92,1,8,2024-08-27,2.12,1,235,8,49912/AL
1157039519768111429,Quarto 05 Confortável e Privativo,577666118,Sandra,GONDOMAR,Rio Tinto,41.172656080301635,-8.558382649158858,Private room,55,1,2,2024-07-08,0.76,3,35,2,155753/AL
1157070802164347611,Apartamento t2 a 300m da praia,570880145,Nuno,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.38204724541608,-8.763701754204968,Entire home/apt,70,2,12,2024-09-06,4.39,2,325,12,144234/AL
1157080003290000501,Boho Chic Campervan,7217235,Marcos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14929,-8.61007,Entire home/apt,,2,0,,,2,257,0,Exempt
1157168341730499777,New Oporto São Bento - Apartamento Superior,29882280,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1456459,-8.6110577,Entire home/apt,191,2,0,,,7,124,0,21837/AL
