,license,license_cleaned
6884,55224/AL,55224
6885,101699/AL,101699
6886,101699/AL,101699
6887,110370/AL,110370
6888,110371/AL,110371
6889,101699/AL,101699
6890,106031/AL,106031
6891,110372/AL,110372
6892,101699/AL,101699
6893,92527/AL,92527
6895,101700/AL,101700
6896,104920/AL,104920
6897,110308/AL,110308
6898,111399/AL,111399
6899,61262/AL,61262
6900,110363/AL,110363
6901,38280/AL,38280
6904,101699/AL,101699
6906,101700/AL,101700
6907,101700/AL,101700
6908,110367/AL,110367
6909,101700/AL,101700
6911,53242/AL,53242
6912,55201/AL,55201
6913,nan,
6914,55224/AL,55224
6915,119882/AL,119882
6917,83944/AL,83944
6918,111008/AL,111008
6919,111010/AL,111010
6920,61281/AL,61281
6921,50301/AL,50301
6922,Exempt,
6923,100764/AL,100764
6924,61274/AL,61274
6925,53245/AL,53245
6926,61576/AL,61576
6928,63811/AL,63811
6929,93749,93749
6930,61617/AL,61617
6932,nan,
6933,Exempt,
6934,60254/AL,60254
6935,111308/AL,111308
6936,60251/AL,60251
6937,42738/AL,42738
6938,92556/AL,92556
6939,53247/AL,53247
6940,AL/106031,106031
6941,67972/AL,67972
6942,110555/AL,110555
6943,111260/AL,111260
6944,111170/AL,111170
6945,110554/AL,110554
6946,111956/AL,111956
6947,108283/AL,108283
6949,111006/AL,111006
6950,55224/AL,55224
6951,55224/AL,55224
6953,107627/AL,107627
6954,48505/AL,48505
6955,92555/AL,92555
6957,92554/AL,92554
6958,133386/AL,133386
6959,nan,
6961,111569/AL,111569
6962,106427/AL,106427
6964,103764/AL,103764
6965,64934/AL,64934
6966,55224/AL,55224
6967,55224/AL,55224
6968,6844/AL,6844
6969,55224/AL,55224
6971,111856/AL,111856
6972,133895/AL,133895
6974,75752/AL,75752
6977,90866/AL,90866
6978,111172/AL,111172
6979,104922/AL,104922
6980,94464/AL,94464
6981,112090/AL,112090
6982,Exempt,
6983,89645/AL,89645
6984,Exempt,
6986,126931/AL,126931
6988,6846/AL,6846
6989,98012/AL,98012
6991,108648/AL,108648
6993,108361/AL,108361
6994,111570/AL,111570
6995,55224/AL,55224
6996,55224/AL,55224
6997,106428/AL,106428
6998,6849/AL,6849
6999,106429/AL,106429
7001,106430/AL,106430
7002,111676/AL,111676
7003,14528/AL,14528
7005,64399/AL,64399
7006,111568/AL,111568
7007,97958/AL,97958
7008,110364/AL,110364
7009,55201/al,55201
7010,Exempt,
7011,110780/AL,110780
7012,Exempt,
7014,64400/AL,64400
7016,64401/AL,64401
7017,108894/AL,108894
7018,91683/AL,91683
7019,112213/AL,112213
7021,11397/AL,11397
7022,5530/AL,5530
7023,111398/AL,111398
7024,104920/AL,104920
7025,6068/AL,6068
7026,110778/AL,110778
7028,23227/AL,23227
7029,121263/AL,121263
7030,109433/AL,109433
7031,121268/AL,121268
7032,121469/AL,121469
7033,111858/AL,111858
7034,112484/AL,112484
7035,112602/AL,112602
7036,31585/AL,31585
7037,110782/AL; 110783/AL,110782
7038,43145/AL,43145
7039,109182/AL,109182
7040,nan,
7041,111266/AL,111266
7042,106963/AL,106963
7043,109387/AL,109387
7044,106963/AL,106963
7045,110783/AL,110783
7047,5406/AL,5406
7048,86243/AL,86243
7049,66409/AL,66409
7050,108649/AL,108649
7051,106963/AL,106963
7052,111566/AL,111566
7053,56572/AL,56572
7054,56565/AL,56565
7055,133213/AL,133213
7056,81330/AL,81330
7057,56569/AL,56569
7058,56558/AL,56558
7059,109188/AL,109188
7060,n.º 70073/AL,70073
7061,109189/AL,109189
7063,113068/AL,113068
7064,101479/AL,101479
7065,nan,
7066,103668/AL,103668
7067,112322/AL,112322
7068,114785/AL,114785
7069,93125/AL,93125
7070,110511/AL,110511
7071,nan,
7072,109156/AL,109156
7073,109168/AL,109168
7074,109387/AL,109387
7075,58446/AL,58446
7076,109118/AL,109118
7077,113133/AL,113133
7078,109119/AL,109119
7080,113713/AL,113713
7081,70073/AL,70073
7082,nan,
7083,70073/AL,70073
7084,nan,
7085,70073/AL,70073
7086,nan,
7087,70073/AL,70073
7088,nan,
7089,70073/AL,70073
7090,30266/AL,30266
7091,19748/AL,19748
7092,nan,
7093,30266/AL,30266
7094,106484/AL,106484
7095,51793/AL,51793
7096,70073/AL,70073
7097,113325/AL,113325
7098,68409/AL,68409
7099,112324/AL,112324
7100,113323/AL,113323
7101,119851/AL,119851
7103,119851/AL,119851
7104,119851/AL,119851
7105,248793/AL,248793
7106,119851/AL,119851
7107,248793/AL,248793
7108,243968/AL,243968
7109,119851/AL,119851
7110,119851/AL,119851
7111,86413/AL,86413
7112,243968/AL,243968
7114,106388/AL,106388
7116,106426/AL,106426
7117,110556/AL,110556
7118,119851/AL,119851
7120,19617/AL,19617
7121,19617/AL,19617
7122,32685/AL,32685
7123,62648/AL,62648
7124,128059/AL,128059
7125,83769/AL,83769
7127,106777/AL,106777
7129,243968/AL,243968
7131,106382/AL,106382
7132,108007/AL,108007
7133,65141/AL,65141
7134,114537/AL,114537
7135,6891/AL,6891
7136,52344/AL,52344
7137,100755/AL,100755
7139,100756/AL,100756
7140,38349/AL,38349
7141,100757/AL,100757
7142,100758/AL,100758
7143,6891/AL,6891
7144,113083/AL,113083
7145,38347/AL,38347
7146,nan,
7147,111567/AL,111567
7148,104655/AL,104655
7149,84178/AL,84178
7150,113218/AL,113218
7151,44712/AL,44712
7152,109187/AL,109187
7153,52344/AL,52344
7154,44695/Al,44695
7155,52344/AL,52344
7156,44701/AL,44701
7157,113217/AL,113217
7158,52344/AL,52344
7159,113215/AL,113215
7160,52344/AL,52344
7161,123033/AL,123033
7162,44704/AL,44704
7163,52344/AL,52344
7164,54962/AL,54962
7165,52344/AL,52344
7166,32679/AL,32679
7167,7383/AL,7383
7168,52344/AL,52344
7169,113252/AL,113252
7170,nan,
7171,7383/AL,7383
7175,75641/AL,75641
7176,nan,
7177,75641/AL,75641
7178,101196/AL,101196
7179,75641/AL,75641
7180,101194/AL,101194
7181,75641/AL,75641
7182,56821/AL; 56816/AL; 56832/AL; 56826/AL; 56347/AL,56821
7183,75641/AL,75641
7184,5406/AL,5406
7185,110851/AL,110851
7186,64829/AL,64829
7187,59978/AL,59978
7189,113216/AL,113216
7190,59978/AL,59978
7191,59978/AL,59978
7192,113217/AL,113217
7194,59978/AL,59978
7195,100759/AL,100759
7196,59978/AL,59978
7198,59978/AL,59978
7200,59978/AL,59978
7205,59978/AL,59978
7210,64829/AL,64829
7211,106386/AL,106386
7212,64828/AL,64828
7214,64827/AL,64827
7216,64820/AL,64820
7217,32690/AL,32690
7218,248793/AL,248793
7219,64820/AL,64820
7220,nan,
7221,98094/AL,98094
7222,64827/AL,64827
7223,243968/AL,243968
7225,55201,55201
7226,114538/AL,114538
7227,64829/AL;64828/AL;64827/AL;64820/AL,64829
7228,Exempt,
7229,103845/AL,103845
7230,64829/AL,64829
7231,106481/AL,106481
7232,86702/AL,86702
7233,34367/AL,34367
7234,98070/AL,98070
7235,34367/AL,34367
7236,34367/AL,34367
7237,113984/AL,113984
7238,34367/AL,34367
7239,34367/AL,34367
7240,114018/AL,114018
7242,40525/AL,40525
7243,101400/AL,101400
7244,43834/AL,43834
7245,114096/AL,114096
7246,102018/AL,102018
7247,96020/AL,96020
7248,101400/AL,101400
7250,106055/AL,106055
7251,nan,
7252,106055/AL,106055
7253,114706/AL,114706
7255,105337/AL,105337
7256,112524/AL,112524
7258,78505/al,78505
7261,110362/AL,110362
7264,114006/AL,114006
7265,36877/AL,36877
7266,36875/AL,36875
7267,58847/AL,58847
7269,56816 /AL,56816
7270,56826/AL,56826
7272,56832/AL,56832
7273,nan,
7274,56347/AL,56347
7275,56821/AL,56821
7276,nan,
7277,nan,
7278,nan,
7279,94455/AL,94455
7280,nan,
7282,nan,
7283,nan,
7284,7201/AL,7201
7285,113614/AL,113614
7287,113943/AL,113943
7289,101227/AL,101227
7290,113619/AL,113619
7291,113591/AL,113591
7292,98967/AL,98967
7295,111011/AL,111011
7296,111009/AL,111009
7297,100202/AL,100202
7298,113410/AL,113410
7299,92111/AL,92111
7301,30756/AL,30756
7302,114018/AL,114018
7303,113943/AL,113943
7304,114061/AL,114061
7305,113943/AL,113943
7306,100996/AL,100996
7307,111601/AL,111601
7308,122807/AL,122807
7310,111565/AL,111565
7313,100996/AL,100996
7314,113943/AL,113943
7315,113943/AL,113943
7316,79743/AL,79743
7317,Exempt,
7318,113943/AL,113943
7319,113943/AL,113943
7320,Exempt,
7321,113779/AL,113779
7322,100948/AL,100948
7323,101533/AL,101533
7324,111175/AL,111175
7325,111175/AL,111175
7326,65588/AL,65588
7327,111175/AL,111175
7328,114160/AL,114160
7329,113324/AL,113324
7330,19579/AL,19579
7331,113327/AL,113327
7332,101374/AL,101374
7335,120614/AL,120614
7337,113490/AL,113490
7338,55201/al,55201
7339,113489/AL,113489
7340,Exempt,
7341,Exempt,
7342,113431/AL,113431
7344,Exempt,
7345,100988/AL,100988
7346,48658/AL,48658
7347,113326/AL,113326
7350,114018/AL,114018
7351,114018/AL,114018
7352,117930/AL,117930
7355,55201/AL,55201
7356,114018/AL,114018
7357,114018/AL,114018
7358,114018/AL,114018
7359,128678/AL,128678
7360,47094/AL,47094
7361,111675/AL,111675
7362,47094/AL,47094
7364,47094/AL,47094
7365,47094/AL,47094
7366,47094/AL,47094
7368,114964/AL,114964
7369,114214/AL,114214
7370,114385/AL,114385
7372,114215/AL,114215
7373,108282/AL,108282
7374,113917/AL,113917
7375,114213/AL,114213
7376,113294/AL,113294
7378,114216/AL,114216
7379,75369/AL,75369
7380,Exempt,
7381,nan,
7383,nan,
7384,nan,
7385,81211/AL,81211
7386,nan,
7387,101378/AL,101378
7388,nan,
7389,101397/AL,101397
7390,114217/AL,114217
7391,101397/AL,101397
7392,104530/AL,104530
7393,101376/AL,101376
7394,108235/AL,108235
7395,114621/AL,114621
7396,114583/AL,114583
7397,114584/AL,114584
7398,101403/AL,101403
7399,114578/AL,114578
7400,31803/AL,31803
7401,101368/AL,101368
7403,115047/AL,115047
7404,114817/AL,114817
7405,44422/AL,44422
7406,105646/AL,105646
7409,114205/AL,114205
7410,113448/AL,113448
7411,58858/AL,58858
7412,113449/AL,113449
7416,114862/AL,114862
7421,44235/AL,44235
7423,114681/AL,114681
7424,113251/AL,113251
7425,112280/AL,112280
7427,114819/AL,114819
7428,11613/AL,11613
7429,98010/AL,98010
7430,113972/AL,113972
7431,101057/AL,101057
7432,77230/AL,77230
7433,34367/AL,34367
7434,120218/AL,120218
7436,115830/AL,115830
7437,34367/AL,34367
7438,nan,
7439,70369/AL,70369
7440,66226/AL,66226
7443,34367/AL,34367
7446,114705/AL,114705
7448,116320/AL,116320
7449,114744/AL,114744
7450,114745/AL,114745
7454,114401/AL,114401
7455,114992/AL,114992
7457,113263/AL,113263
7458,114620/AL,114620
7459,113642/AL,113642
7460,120213/AL,120213
7461,126235/AL,126235
7462,113751/AL,113751
7463,34367/AL,34367
7464,113069/AL,113069
7465,113505/AL,113505
7466,103763/AL,103763
7467,123075/AL,123075
7468,117005/AL,117005
7470,115608/AL,115608
7471,120213/AL,120213
7472,115385/AL,115385
7473,115609/AL,115609
7474,110279/AL,110279
7476,115927/AL,115927
7479,115283/AL,115283
7480,4541/AL,4541
7481,4541/AL,4541
7482,116221/AL,116221
7484,4541/AL,4541
7485,115440/AL,115440
7486,113813/AL,113813
7487,113815/AL,113815
7488,115386/AL,115386
7489,89893/AL,89893
7490,115318/AL,115318
7491,nan,
7492,114889/AL,114889
7493,114019/AL,114019
7495,115316/AL,115316
7496,31609/AL,31609
7497,114501/AL,114501
7498,31609/AL,31609
7499,115607/AL,115607
7500,3687/AL,3687
7510,114310/AL,114310
7511,57473/AL,57473
7512,111012/AL,111012
7514,114564/AL,114564
7515,101237/AL,101237
7516,53038/AL,53038
7517,31609/AL,31609
7520,101064/AL,101064
7521,100387/AL,100387
7522,55201/AL,55201
7523,101238/AL,101238
7525,51871,51871
7526,114192/AL,114192
7528,82882/AL,82882
7529,105206/AL,105206
7530,105206/AL,105206
7532,105206/AL,105206
7533,105206/AL,105206
7534,nan,
7535,nan,
7536,9336,9336
7537,114192/AL,114192
7538,515265403,515265403
7539,117048/AL,117048
7540,nan,
7541,115499/AL,115499
7542,100386/AL,100386
7543,60168/AL,60168
7545,nan,
7546,114204/AL,114204
7547,115184/AL,115184
7548,114235/AL,114235
7549,15386/AL,15386
7550,61600/AL,61600
7551,112757/AL,112757
7552,60896/AL,60896
7553,114106/AL,114106
7554,119851/AL,119851
7556,105914/AL,105914
7557,113973/AL,113973
7558,3673/AL,3673
7559,64852/AL,64852
7560,64852/AL,64852
7561,127135/AL,127135
7562,122221/AL,122221
7564,114500/AL,114500
7565,109025/AL,109025
7566,87110/AL,87110
7572,114279/AL,114279
7573,115131/AL,115131
7574,116102/AL,116102
7575,334455/AL,334455
7578,113445/AL,113445
7580,110852/AL,110852
7581,100749/AL,100749
7582,62036/AL,62036
7583,113446/AL,113446
7584,62044/AL,62044
7585,116325/AL,116325
7586,49146/AL,49146
7591,115320/AL,115320
7593,73441/AL,73441
7594,37435/AL,37435
7595,118516/AL,118516
7596,115643/AL,115643
7597,97315/AL,97315
7598,118594/AL,118594
7599,120099/AL,120099
7600,118595/AL,118595
7601,118960/AL,118960
7602,81106/AL,81106
7603,65854/AL,65854
7604,nan,
7605,90121/AL,90121
7607,65886/AL,65886
7609,65829/AL,65829
7611,65850/AL,65850
7613,12345/AL,12345
7615,117005/AL,117005
7617,97508/AL,97508
7619,94611/AL,94611
7620,61838/AL,61838
7621,112413/AL,112413
7622,39611/AL,39611
7623,39884/AL,39884
7624,115089/AL,115089
7625,114003/AL,114003
7626,68371/AL,68371
7628,115882/AL,115882
7629,117530/AL,117530
7630,41686/AL,41686
7631,120066/AL,120066
7632,27876/AL,27876
7633,57294/AL,57294
7634,64825/AL,64825
7635,nan,
7637,116326/AL,116326
7638,nan,
7639,35861/AL,35861
7640,nan,
7642,nan,
7643,nan,
7645,nan,
7646,nan,
7647,72367/AL,72367
7648,nan,
7649,nan,
7650,114536/AL,114536
7653,115161/AL,115161
7655,104920/AL,104920
7656,117048/AL,117048
7659,61838/AL,61838
7662,87420/AL,87420
7663,49523/AL,49523
7665,116142/AL,116142
7666,20719/AL,20719
7667,54378/AL,54378
7668,116324/AL,116324
7669,112186/AL,112186
7670,116412/AL,116412
7671,57817/AL,57817
7672,41686/AL,41686
7673,114256/AL,114256
7674,nan,
7675,116641/AL,116641
7677,116352/AL,116352
7678,116730/AL,116730
7681,116220/AL,116220
7682,115750/AL,115750
7684,41686/AL,41686
7685,116483/AL,116483
7686,112413/AL,112413
7687,41686/AL,41686
7688,112413/AL,112413
7689,100940/AL,100940
7690,100941/AL,100941
7691,41686/AL,41686
7692,96872/AL,96872
7695,116356/AL,116356
7696,134412/AL,134412
7697,115643/AL,115643
7698,115643/AL,115643
7699,114493/AL,114493
7700,115643/AL,115643
7702,115643/AL,115643
7703,115678/AL,115678
7705,90070/AL,90070
7706,116356/AL,116356
7707,41686/AL,41686
7708,41686/AL,41686
7709,113526/AL,113526
7712,1116013,1116013
7713,115828/AL,115828
7717,104000/AL,104000
7718,112413/AL,112413
7720,116800/AL,116800
7721,103960/AL,103960
7722,103959/AL,103959
7723,114038/AL,114038
7724,116482/AL,116482
7725,116322/AL,116322
7726,116321/AL,116321
7727,83863/AL,83863
7728,117048/AL,117048
7729,117249/AL,117249
7730,117048/AL,117048
7731,116830/AL,116830
7733,15391/AL,15391
7734,5134/AL,5134
7735,5151/AL,5151
7736,115829/AL,115829
7737,5143/AL,5143
7738,5143/AL,5143
7739,117377/AL,117377
7740,7428/AL,7428
7741,112690/AL,112690
7742,121277/AL,121277
7743,115550/AL,115550
7744,117378/AL,117378
7745,65571/AL,65571
7746,9706/AL,9706
7747,103849/AL,103849
7748,9706/AL,9706
7752,115258/AL,115258
7753,9706/AL,9706
7754,9706/AL,9706
7755,117117/AL,117117
7757,116323/AL,116323
7759,116016/AL,116016
7760,116323/AL,116323
7762,Exempt,
7763,116016/AL,116016
7764,115020/AL,115020
7765,65581/AL,65581
7766,89794/AL,89794
7767,116016/AL,116016
7768,116016/AL,116016
7769,116016/AL,116016
7770,116016/AL,116016
7771,75347/AL,75347
7772,116016/AL,116016
7773,nan,
7774,116016/AL,116016
7775,67027/AL,67027
7776,116016/AL,116016
7777,116016/AL,116016
7778,53369/AL,53369
7779,113180/AL,113180
7780,116327/AL,116327
7781,nan,
7784,116016/AL,116016
7786,116016/AL,116016
7790,116016/AL,116016
7792,nan,
7794,nan,
7795,118316/AL,118316
7796,115985/AL,115985
7797,nan,
7799,nan,
7800,118228/AL,118228
7801,117771/AL,117771
7803,117003/AL,117003
7805,117005/AL,117005
7807,27321/AL,27321
7808,44894/AL,44894
7810,14991/AL,14991
7811,114447/AL,114447
7813,81288/AL,81288
7815,116519/AL,116519
7818,116800/AL,116800
7819,121039/AL,121039
7824,114080/AL,114080
7825,117245/AL,117245
7826,117139/AL,117139
7827,116800/AL,116800
7828,117881/AL,117881
7829,nan,
7831,32325/AL,32325
7832,116800/AL,116800
7833,108887/AL,108887
7834,107787/AL,107787
7835,115676/AL,115676
7836,93107/AL,93107
7837,116637/AL,116637
7838,6335/AL,6335
7840,6335/AL,6335
7841,121168/AL,121168
7844,nan,
7845,125877/AL,125877
7847,117772/AL,117772
7849,6335/AL,6335
7850,116283/AL,116283
7851,107313/AL,107313
7852,106155/AL,106155
7853,93125/AL,93125
7854,106963/AL,106963
7855,5368,5368
7856,91861/AL,91861
7857,16016/AL,16016
7858,14523/AL,14523
7860,117931/AL,117931
7862,123168/AL,123168
7863,97967/AL,97967
7864,106963/AL,106963
7865,117981/AL,117981
7866,16019/AL,16019
7867,13577/AL,13577
7868,040721/AL,040721
7869,117740/AL,117740
7870,111007/AL,111007
7872,118494/AL,118494
7873,118328/AL,118328
7874,119665/AL,119665
7875,69745/AL,69745
7878,116219/AL,116219
7880,111133/AL,111133
7881,116223/AL,116223
7882,116626/AL,116626
7883,119456/AL,119456
7884,115388/AL,115388
7886,115387/AL,115387
7888,107315/AL,107315
7889,115417/AL,115417
7890,107793/AL,107793
7891,63876/AL,63876
7892,9482/AL,9482
7893,114680/AL,114680
7895,4541/AL,4541
7896,115540/AL,115540
7897,117050/AL,117050
7898,4541/AL,4541
7899,118293/AL,118293
7900,122732/AL,122732
7901,99950/AL,99950
7902,117379/AL,117379
7905,31945/AL,31945
7906,132717/AL,132717
7908,103010/AL,103010
7909,132714/AL,132714
7910,150721/AL,150721
7913,118959/AL,118959
7914,118956/AL,118956
7915,87378/AL,87378
7916,118958/AL,118958
7917,nan,
7918,nan,
7919,56347/AL,56347
7920,113865/AL,113865
7921,109183/AL,109183
7922,121168/AL,121168
7923,115642/AL,115642
7924,120492/AL,120492
7925,116354/AL,116354
7926,115709/AL,115709
7927,115710/AL,115710
7929,122128/AL,122128
7930,116100/AL,116100
7931,122127/AL,122127
7932,122129/AL,122129
7933,118478/AL,118478
7934,122132/AL,122132
7935,nan,
7936,nan,
7937,118035/AL,118035
7938,nan,
7939,115883/AL,115883
7940,116353/AL,116353
7941,111176/AL,111176
7942,79670/AL,79670
7946,118662/AL,118662
7947,118596/AL,118596
7948,nan,
7949,115825/AL,115825
7950,118159,118159
7951,115826/AL,115826
7953,115827/AL,115827
7954,nan,
7955,119893/AL,119893
7956,384418,384418
7957,119642/AL,119642
7961,118932/AL,118932
7962,118931/AL,118931
7964,118782/AL,118782
7965,58852/AL,58852
7966,nan,
7967,61491/AL,61491
7968,nan,
7970,119646/AL,119646
7971,nan,
7973,nan,
7974,118478/AL,118478
7975,118996/AL,118996
7977,117323/AL,117323
7978,118997/AL,118997
7979,112323/AL,112323
7986,119369/AL,119369
7987,109063/AL,109063
7988,94813/AL,94813
7989,119370/AL,119370
7990,9706/AL,9706
7991,93125/AL,93125
7992,58628/AL,58628
7993,55201/AL,55201
7997,117051/AL,117051
7998,40800/AL,40800
7999,118863/AL,118863
8000,117640/AL,117640
8001,118871/AL,118871
8002,116567/AL,116567
8003,118310/AL,118310
8007,119149/AL,119149
8008,118552/AL,118552
8009,111261/AL,111261
8010,115785/AL,115785
8011,111783/AL,111783
8012,Exempt,
8014,113655/AL,113655
8015,120854/AL,120854
8016,127205/AL,127205
8018,127209/AL,127209
8019,127207/AL,127207
8020,23069/AL,23069
8022,84626/AL,84626
8023,19617/AL,19617
8025,119281/AL,119281
8027,121158/AL,121158
8028,117845/AL,117845
8029,64260/AL,64260
8030,120227/AL,120227
8031,115443/AL,115443
8032,118687/AL,118687
8033,358846/AL,358846
8034,96951/AL,96951
8035,113656/AL,113656
8036,64261/AL,64261
8037,105206/AL,105206
8038,114145/AL,114145
8039,111261/AL,111261
8040,105206/AL,105206
8041,105206/AL,105206
8042,105206/AL,105206
8044,117049/AL,117049
8045,119085/AL,119085
8046,116224/AL,116224
8047,64263/AL,64263
8048,81288/AL,81288
8049,94031/AL,94031
8053,117880/AL,117880
8054,113727/AL,113727
8056,114695/AL,114695
8057,119407/AL,119407
8058,118663/AL,118663
8059,90906/AL,90906
8061,119585/AL,119585
8064,9336,9336
8065,9336,9336
8066,64369/AL,64369
8067,58001/AL,58001
8068,116732/AL,116732
8070,121874/AL,121874
8071,123709/AL,123709
8073,11985,11985
8074,36375/AL,36375
8075,119964/AL,119964
8076,118087/AL,118087
8077,121832/AL,121832
8078,61243/AL,61243
8083,nan,
8087,119873/AL,119873
8089,118379/AL,118379
8090,116803/AL,116803
8091,121572/AL,121572
8094,19091/AL,19091
8095,119581/AL,119581
8096,26288/AL,26288
8097,96246/AL,96246
8100,107253/AL,107253
8107,101705/AL,101705
8108,118312/AL,118312
8109,119968/AL,119968
8110,112360/AL,112360
8111,115749/AL,115749
8112,127227/AL,127227
8113,119968/AL,119968
8114,119968/AL,119968
8115,120217/AL,120217
8118,18970/AL,18970
8120,120222/AL,120222
8121,191092/AL,191092
8122,58491/AL,58491
8123,19090/AL,19090
8124,97143/AL,97143
8125,19758/AL,19758
8126,nan,
8127,19759/AL,19759
8128,125251/AL,125251
8129,119844/AL,119844
8130,109988/AL,109988
8131,119822/AL,119822
8132,116614/AL,116614
8133,119817/AL,119817
8134,77306/AL,77306
8135,119150/AL,119150
8136,122551/AL,122551
8137,119814/AL,119814
8138,119820/AL,119820
8139,84054/AL,84054
8140,90314/AL,90314
8141,79950/AL,79950
8142,124166/AL,124166
8143,49561/AL,49561
8144,61361/AL,61361
8145,5620/AL,5620
8146,118998/AL,118998
8147,5620/AL,5620
8148,96491/AL,96491
8149,96492/AL,96492
8153,107541/AL,107541
8158,116222/AL,116222
8159,111174/AL,111174
8160,118954/AL,118954
8161,109713/AL,109713
8163,110535/AL,110535
8164,120212/AL,120212
8165,86643/AL,86643
8167,29952/AL,29952
8169,120444/AL,120444
8171,71525/AL,71525
8172,75631/AL,75631
8173,120362/AL,120362
8174,95132/AL,95132
8175,122136/AL,122136
8176,119626/AL,119626
8177,122136/AL,122136
8181,121625/AL,121625
8182,12345/AL,12345
8183,122136/AL,122136
8184,12345/AL,12345
8186,12345/AL,12345
8187,12345/AL,12345
8188,26560/AL,26560
8189,12345/AL,12345
8190,12345/AL,12345
8192,12345/AL,12345
8193,12345/AL,12345
8194,120369/AL,120369
8195,75019/AL,75019
8198,120238/AL,120238
8199,119084/AL,119084
8200,120210/AL,120210
8201,120013/AL,120013
8202,120475/AL,120475
8203,115110/AL,115110
8204,79952/AL,79952
8205,40824/AL,40824
8206,122130/AL,122130
8207,94449/AL,94449
8208,50702/AL,50702
8209,115110/AL,115110
8210,115110/AL,115110
8211,83122/AL,83122
8212,121085/AL,121085
8213,82224/AL,82224
8214,120241/AL,120241
8215,nan,
8216,53248/AL,53248
8217,40913/AL,40913
8218,35676/AL,35676
8219,100955/AL,100955
8220,115110/AL,115110
8222,117222/AL,117222
8223,114682/AL,114682
8224,nan,
8226,87499/AL,87499
8227,103447/AL,103447
8228,135075/AL,135075
8229,112359/AL,112359
8230,117222/AL,117222
8231,132764/AL,132764
8232,132764/AL,132764
8233,117222/AL,117222
8234,132764/AL,132764
8235,117222/AL,117222
8236,121655/AL,121655
8237,120483/AL,120483
8239,113986/AL,113986
8240,nan,
8242,nan,
8243,55201/AL,55201
8244,99956/AL,99956
8245,120550/AL,120550
8246,122940/AL,122940
8248,nan,
8249,120699/AL,120699
8250,110853/AL,110853
8251,119414/AL,119414
8252,117693/AL,117693
8254,114581/AL,114581
8255,90429/AL,90429
8257,111393/AL,111393
8258,115110/AL,115110
8259,121398/AL,121398
8260,111261/AL,111261
8263,115983/AL,115983
8264,111393/AL,111393
8265,12345/AL,12345
8266,48383/AL,48383
8267,120623/AL,120623
8269,122163/AL,122163
8270,120552/AL,120552
8271,nan,
8272,122170/AL,122170
8273,122688/AL,122688
8274,121307/AL,121307
8276,121608/AL,121608
8277,nan,
8278,120327/AL,120327
8279,86530/AL,86530
8280,122693/AL,122693
8281,120245/AL,120245
8282,121924/AL,121924
8284,121447/AL,121447
8285,1090,1090
8286,121115/AL,121115
8287,117222/AL,117222
8288,117222/AL,117222
8289,121117/AL,121117
8290,121118/AL,121118
8292,123335/AL,123335
8293,61243/AL,61243
8294,118664/AL,118664
8295,133902/AL,133902
8296,92795/AL,92795
8297,121214/AL,121214
8298,145049/AL,145049
8299,120360/AL,120360
8300,127211/AL,127211
8301,40823/AL,40823
8302,88164/AL,88164
8303,66657/AL,66657
8304,106058/AL,106058
8305,53789/AL,53789
8308,109114/AL,109114
8310,122557/AL,122557
8311,113780/AL,113780
8312,113783/AL,113783
8313,121159/AL,121159
8314,111267/AL,111267
8317,133899/AL,133899
8318,133902/AL,133902
8319,123716/AL,123716
8320,111267/AL,111267
8321,120994/AL,120994
8322,101227/AL,101227
8323,80560/AL,80560
8324,118690/AL,118690
8325,98664/AL,98664
8328,5518/AL,5518
8329,59428/AL,59428
8330,59258/AL,59258
8331,90905/AL,90905
8333,49867/AL,49867
8336,120931/AL,120931
8338,120980/AL,120980
8339,115110/AL,115110
8340,120981/AL,120981
8341,120673/AL,120673
8342,101864/AL,101864
8343,87514/AL,87514
8344,nan,
8345,90860/AL,90860
8346,101869/AL,101869
8348,100858/AL,100858
8349,100859/AL,100859
8350,55956/AL,55956
8351,133641/AL,133641
8352,118728/AL,118728
8353,145139/AL,145139
8354,121516/AL,121516
8355,120938/AL,120938
8356,60326/AL,60326
8357,48658/AL,48658
8358,61243/AL,61243
8359,87425/AL,87425
8360,118424/AL,118424
8361,87837/AL,87837
8362,87380/AL,87380
8363,73088/AL,73088
8364,105752/AL,105752
8365,124953/AL,124953
8366,38322/AL,38322
8367,109153/AL,109153
8368,120403/AL,120403
8369,120821/AL,120821
8370,84354/AL,84354
8371,120936/AL,120936
8372,120933/AL,120933
8373,120934/AL,120934
8374,118290/AL,118290
8375,120511/AL,120511
8376,55201/AL,55201
8377,122555/AL,122555
8378,55201/AL,55201
8379,91513/AL,91513
8380,120546/AL,120546
8381,80021/AL,80021
8382,1921/AL,1921
8383,79242/AL,79242
8384,88501/AL,88501
8385,108563/AL,108563
8386,100955/AL,100955
8387,121628/AL,121628
8389,97687/AL,97687
8390,120446/AL,120446
8391,99302/AL,99302
8392,120635/AL,120635
8393,121064/AL,121064
8394,64308/AL,64308
8396,119848/AL,119848
8397,59428/AL,59428
8398,120364/AL,120364
8399,73575/AL,73575
8400,120943/AL,120943
8401,121573/AL,121573
8405,64308/AL,64308
8406,122553/AL,122553
8407,64308/AL,64308
8409,nan,
8410,nan,
8412,nan,
8413,58371/AL,58371
8414,87102/AL,87102
8415,121163/AL,121163
8416,120998/AL,120998
8417,120983/AL,120983
8419,121449/AL,121449
8421,103961/AL,103961
8422,37995/AL,37995
8425,64308/AL,64308
