,license,license_cleaned
1647,34647 / AL,34647
1653,55435/AL,55435
1655,55441/AL,55441
1656,111654/AL,111654
1657,33623/AL,33623
1658,37538/AL,37538
1659,74393/AL,74393
1661,55450/AL,55450
1662,33182/AL,33182
1664,40291/AL,40291
1668,32354/AL,32354
1670,56281/AL,56281
1671,34430/AL,34430
1673,31695/AL,31695
1674,31983/AL,31983
1675,34514/AL,34514
1676,34516/AL,34516
1677,29954/AL,29954
1678,34239/AL,34239
1680,52604/AL,52604
1681,35580/AL,35580
1682,33003/AL,33003
1685,nan,
1686,33773/AL,33773
1687,15118/Al,15118
1688,37146/AL,37146
1689,nan,
1690,69780/AL,69780
1691,23007/AL,23007
1693,118748/AL,118748
1694,31918/AL,31918
1695,62488/AL,62488
1697,50895/AL,50895
1698,31914/AL,31914
1699,34778/AL,34778
1700,34350/AL,34350
1701,35739/AL,35739
1702,35741/AL,35741
1703,nan,
1707,nan,
1709,43453/AL,43453
1711,nan,
1712,50854/AL,50854
1713,nan,
1714,34551/AL,34551
1717,37735/AL,37735
1720,35668/AL,35668
1721,36917/AL,36917
1723,45786/AL,45786
1725,38350/AL,38350
1730,41246/AL,41246
1731,83407/AL,83407
1734,70170/AL,70170
1735,51059/AL,51059
1738,36463/AL,36463
1744,6306/AL,6306
1745,nan,
1746,47500/AL,47500
1747,nan,
1748,72377/AL,72377
1749,47297/AL,47297
1750,62312AL,62312
1751,nan,
1752,36874/AL,36874
1753,nan,
1754,53656/AL,53656
1755,30347/AL,30347
1756,nan,
1757,64505/AL,64505
1761,35390/AL,35390
1762,35466/AL,35466
1763,36878/AL,36878
1765,36392,36392
1767,nan,
1768,44007/AL,44007
1771,60572/al,60572
1772,44879/AL,44879
1773,nan,
1774,44886/AL,44886
1776,45951/AL,45951
1777,36102/AL,36102
1780,nan,
1783,38443/AL,38443
1786,32814/AL,32814
1787,35718/AL,35718
1788,31832/AL,31832
1791,10826/AL,10826
1792,41183/AL,41183
1793,nan,
1795,50470,50470
1797,38127/AL,38127
1801,37136/ AL,37136
1803,37137/ AL ,37137
1804,37138/ AL ,37138
1805,35642/AL,35642
1806,37140/ AL ,37140
1807,37139/ AL ,37139
1808,78878/AL,78878
1809,90570/AL,90570
1810,34310/AL,34310
1811,34315/AL,34315
1812,83755/AL,83755
1813,101956/AL,101956
1814,41238/AL,41238
1815,53347/AL,53347
1816,nan,
1817,nan,
1818,55116/AL,55116
1819,36040/AL,36040
1820,40080/AL,40080
1824,86181/AL,86181
