id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26055735,"Azulejos - Charming Duplex Apartment, Historical Downtown - Two Balconies",195795985,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14677,-8.60273,Entire home/apt,64,2,189,2022-10-30,3.46,1,284,44,73851/AL
26058669,GaiaBlu Guesthouse (Cais de Gaia - Porto),195833939,Patty,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1345,-8.61876,Entire home/apt,50,2,116,2020-08-10,2.14,1,45,0,94432/AL
25822062,Poet´s Soul Apartment,194038147,Hélder,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15471,-8.60831,Entire home/apt,173,3,127,2022-10-28,2.38,1,227,33,66658/AL
26060603,"Very close to metro, w garage, heated pool, SPA...",14787717,Luiz Augusto,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.11772,-8.61119,Entire home/apt,159,2,33,2020-03-10,0.61,1,0,0,74824/AL
26196854,LBM-Luxury Bolhão Market Apartment,190945234,Luis,PORTO,Bonfim,41.15034,-8.60214,Entire home/apt,50,2,192,2022-12-04,3.52,1,271,57,75157/AL
26198779,"Lapa A, Cozy Apartment » AC + Subway",143402005,António,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15737,-8.61123,Entire home/apt,43,2,129,2022-12-10,2.38,18,153,46,77830/AL
25825381,CM VINTAGE Apartments,49819978,Oporto Guest,PORTO,Bonfim,41.15118,-8.60429,Entire home/apt,43,2,8,2022-11-13,0.15,22,361,5,72838/AL
26210100,Sunday's in Oporto Garden - City Center,183374387,Sofia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14608,-8.6086,Entire home/apt,90,1,13,2022-09-25,0.24,4,10,4,68318/AL
26210911,Apartamento sofisticado em prédio de traça antiga,183374387,Sofia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14608,-8.6086,Entire home/apt,90,1,16,2022-08-31,0.30,4,13,3,28022/AL
26212202,Casa d´Alvite - Arouca,196999826,Casa,AROUCA,Escariz,40.93222,-8.40637,Entire home/apt,380,5,0,,,1,358,0,80224/AL
26061776,Cosy Santa Catarina Flat,88207815,Fernando,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15257,-8.6046,Entire home/apt,83,6,22,2022-06-15,0.40,4,364,2,114060/AL
26063762,Oporto Cavadas House.,195874629,Manuela & Mariana,GONDOMAR,Rio Tinto,41.18736,-8.55241,Entire home/apt,50,2,71,2022-09-28,1.30,1,160,8,74375/AL
